id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score CC,Deficit,IngresoPercapita,Odds,Mes inicial,Prediction,Incobrable
93663,3500,41,Femenino,1,13199,3519,444,8800,6599,1.3,7,0,0
76364,6000,52,Femenino,0,11037,0,557,10000,11037,2.9,3,0,0
122999,5500,39,Masculino,0,8480,3180,704,5000,8480,8.3,2,0,1
154743,3500,63,Masculino,0,0,4688,502,-4500,0,2.0,8,1,1
104021,5500,36,Femenino,1,3811,1089,431,2500,1905,1.2,9,0,1
74738,3500,45,Femenino,0,6622,2207,516,4000,6622,2.1,3,0,1
142124,3500,18,Masculino,0,8422,1831,0,6260,8422,0.0,6,0,0
97490,5500,37,Femenino,1,11485,4922,458,6000,5742,1.5,8,0,0
108792,3500,18,Femenino,1,13019,2169,553,10000,6509,2.9,10,0,0
73979,3500,35,Femenino,0,8300,4426,513,3500,8300,2.1,2,0,0
73944,4500,56,Femenino,0,8300,4426,562,3500,8300,3.2,2,0,0
160361,5500,20,Femenino,1,0,5623,432,-5400,0,1.2,9,1,1
109393,3500,48,Femenino,1,9702,3234,526,6000,4851,2.2,11,0,0
178070,11000,29,Femenino,2,0,1027,495,-1000,0,1.9,12,1,1
101136,4500,38,Femenino,0,13068,0,419,12000,13068,1.2,9,1,1
78379,3500,19,Femenino,0,11039,6623,593,4000,11039,4.0,4,0,1
69561,3500,63,Masculino,0,11128,4451,0,6000,11128,0.0,1,0,0
164241,4000,21,Masculino,0,17703,9372,401,8000,17703,0.9,9,0,0
105000,3500,29,Femenino,3,9801,7623,462,2000,2450,1.5,9,0,0
132385,5500,42,Femenino,1,10548,2637,448,7500,5274,1.3,4,0,0
157701,18000,67,Femenino,0,26046,20837,443,5000,26046,1.3,8,0,0
95903,4000,24,Femenino,1,9298,2734,572,6000,4649,3.5,8,0,0
122427,3500,32,Femenino,0,12720,3180,480,9000,12720,1.8,2,0,0
146701,3500,22,Masculino,1,0,4688,396,-4500,0,0.9,7,1,1
82341,3500,33,Femenino,0,7948,0,0,7200,7948,0.0,4,1,0
157115,5500,56,Femenino,0,0,2083,507,-2000,0,2.0,8,1,0
69149,8000,36,Femenino,0,6677,0,514,6000,6677,2.1,1,1,1
73634,6000,68,Femenino,0,15493,0,460,14000,15493,1.5,2,1,0
74775,3500,24,Femenino,0,5518,2207,0,3000,5518,0.0,3,0,1
167068,3500,58,Femenino,0,10356,9320,0,1000,10356,0.0,10,0,0
134058,5500,45,Femenino,2,0,1054,480,-1000,0,1.8,4,1,1
104552,7000,39,Masculino,0,8167,2504,621,5200,8167,5.3,9,0,0
