id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score CC,Ciclo,Monto_Ant,Frecuencia_Ant,Score_Ant,Deficit,IngresoPercapita,Odds,Mes inicial,Prediction,Incobrable
135623,9000,50,Femenino,1,14240,5801,463,11,9493,0.945599179,0.936689774,8000,7120,1.5,4,0,1
112821,8000,62,Femenino,0,5174,3018,619,2,5390,1.21575242,1.0328256,2000,5174,5.3,11,0,1
136912,5500,30,Femenino,2,5495,2007,506,3,3170,1.187622309,0.989978322,3300,1831,2.0,5,1,1
129903,11000,56,Femenino,1,17969,2642,545,8,15855,0.94558055,0.940670715,14500,8984,2.75,3,1,1
129561,7500,32,Masculino,2,8984,4756,408,2,5285,1.492999813,0.982739726,4000,2994,1.2,3,1,1
138735,4000,18,Femenino,1,0,845,600,2,3170,1.063784247,1.0,-800,0,4.6,5,0,1
144237,5000,34,Masculino,2,12634,5264,508,3,5264,0.945585216,0.864961082,7000,4211,2.0,6,1,1
131585,11000,35,Femenino,2,18987,8439,458,2,7384,1.385158151,1.022272527,10000,6329,1.5,4,0,0
130513,7500,33,Masculino,1,13212,5232,617,4,7399,1.040693431,0.873266418,7550,6606,5.3,3,1,1
138032,7500,34,Femenino,2,12682,5284,473,2,5284,1.667276423,0.997579008,7000,4227,1.6,5,1,1
69309,7000,42,Femenino,3,8012,4451,552,2,5564,1.001207875,0.0,3200,2003,2.9,1,0,1
131929,3500,38,Masculino,0,14768,8439,475,2,3164,1.001208703,0.930884554,6000,14768,1.6,4,1,1
89542,10000,41,Masculino,1,27631,3766,457,2,8841,1.063778772,0.0,21592,13815,1.5,6,1,1
131088,7500,41,Femenino,0,6329,3692,604,2,5274,1.271521087,0.972110529,2500,6329,4.6,4,1,0
133620,3500,21,Femenino,1,7384,3692,474,3,4219,1.001206637,0.991979135,3500,3692,1.6,4,0,0
97798,3500,64,Femenino,0,9298,6344,494,2,3281,0.630390665,0.0,2700,9298,1.9,8,0,0
137980,8000,25,Femenino,2,11413,5812,463,5,5284,1.505693485,1.049173815,5300,3804,1.5,5,0,0
100202,7000,53,Masculino,1,6563,2187,458,4,7657,0.740019042,0.790831213,4000,3281,1.5,8,0,1
134376,3500,56,Femenino,0,7384,9493,439,2,3164,1.286354057,1.02985166,-2000,7384,1.3,4,0,0
130481,7500,38,Masculino,1,11076,1687,423,7,8439,1.134697357,1.003901261,8900,5538,1.2,4,0,0
129544,8000,37,Femenino,1,17440,6342,480,2,5285,1.495239873,1.04837664,10500,8720,1.8,3,0,0
129383,5500,58,Femenino,0,19026,14798,425,3,3699,1.418377322,1.072605625,4000,19026,1.2,3,0,0
134056,8000,37,Femenino,1,12658,6329,370,2,5274,1.280998263,1.032072166,6000,6329,0.9,4,1,1
127331,3500,42,Femenino,2,8456,2642,486,2,3171,0.895818313,0.992587164,5500,2818,1.8,3,1,1
136122,7000,35,Femenino,2,14372,5389,455,3,7397,0.945579886,0.874371357,8500,4790,1.5,5,1,0
112877,8500,33,Masculino,0,8624,10780,369,2,5390,1.632648871,1.031188049,-2000,8624,0.9,11,0,0
164056,6500,39,Femenino,1,8539,6768,527,4,6768,0.851022013,0.0,1700,4269,2.2,9,0,0
133865,8000,31,Femenino,2,9493,4746,462,3,5801,1.516390673,1.031573717,4500,3164,1.5,4,1,0
74889,6000,34,Femenino,1,18763,3090,496,10,7174,1.063777516,0.0,14200,9381,1.9,3,0,0
141865,11000,44,Femenino,1,21057,6317,412,4,10528,0.845789817,0.918912914,14000,10528,1.2,6,1,1
90175,6000,30,Femenino,0,11052,552,471,4,6631,0.945580163,0.830182466,9500,11052,1.6,6,1,1
156896,4500,52,Femenino,1,6251,4688,493,3,4167,1.37457483,0.978982984,1500,3125,1.9,8,1,0
141957,8000,31,Masculino,2,16845,11265,524,3,5790,1.286039886,1.013757313,5300,5615,2.2,6,0,1
141975,5500,48,Femenino,0,21057,11054,477,2,5264,0.851026694,0.854322919,9500,21057,1.6,6,1,0
137475,6500,50,Femenino,1,17437,8454,459,2,3170,1.542521994,1.034815813,8500,8718,1.5,5,0,0
139301,5500,47,Femenino,1,4227,6341,535,3,5284,1.194338516,0.929095828,-2000,2113,2.6,5,1,0
130519,18000,45,Femenino,1,13212,3435,638,5,10570,1.496271122,1.056221723,9250,6606,6.1,3,0,1
137667,10500,36,Femenino,2,6869,2642,419,3,7397,1.49411142,1.038155765,4000,2289,1.2,5,0,0
139385,8500,31,Masculino,3,12682,4227,533,3,5812,1.063777881,1.000826173,8000,3170,2.6,5,1,0
