,Step,Rows,Columns,Column Names
0,Initialization,1596,17,"['Fecha Inicial', 'Monto', 'Edad Solicitud', 'Genero', 'Dependientes', 'Ingresos', 'Egresos', 'Score CC', 'Ciclo', 'Monto_Ant', 'Frecuencia_Ant', 'Incobrable', 'Score_Ant', 'Deficit', 'IngresoPercapita', 'Odds', 'Mes inicial']"
1,Filtered by max date,1596,17,"['Fecha Inicial', 'Monto', 'Edad Solicitud', 'Genero', 'Dependientes', 'Ingresos', 'Egresos', 'Score CC', 'Ciclo', 'Monto_Ant', 'Frecuencia_Ant', 'Incobrable', 'Score_Ant', 'Deficit', 'IngresoPercapita', 'Odds', 'Mes inicial']"
